"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Balistapus undulatus","Moorea",5.3,14.244028187962,1.65683688717833,10.963622649467,17.380061749283
"Balistapus undulatus","Moorea",5.4,14.3326921637522,1.63772672858737,11.0890708567846,17.432092174556
"Balistapus undulatus","Moorea",5.5,14.418750127757,1.61938914952321,11.1958938315677,17.4774038396318
"Balistapus undulatus","Moorea",5.6,14.5022927032152,1.60183888476394,11.3060022503144,17.5249607594042
"Balistapus undulatus","Moorea",5.7,14.5834067482689,1.58508788827941,11.4168663404073,17.5724937903522
"Balistapus undulatus","Moorea",5.8,14.6621755424483,1.56914542758098,11.5279800579041,17.6178693737002
"Balistapus undulatus","Moorea",5.9,14.7386789622912,1.55401817498246,11.6363132450986,17.6568928614656
"Balistapus undulatus","Moorea",6,14.8129936468299,1.53971029749381,11.718016900456,17.6961759458308
"Balistapus undulatus","Moorea",6.1,14.8851931536178,1.52622354688831,11.8064876373349,17.7450637493498
"Balistapus undulatus","Moorea",6.2,14.9553481059206,1.51355735128337,11.8896191260042,17.7989262960532
"Balistapus undulatus","Moorea",6.3,15.0235263316489,1.50170890935566,11.9755483698843,17.8456740229284
"Balistapus undulatus","Moorea",6.4,15.0897929945674,1.49067328807767,12.0557078501069,17.8849378618044
"Balistapus undulatus","Moorea",6.5,15.1542107182746,1.48044352461937,12.1354669720508,17.9349311583415
"Balistapus undulatus","Moorea",6.6,15.2168397034146,1.4710107328103,12.2112234197226,17.9779775803388
"Balistapus undulatus","Moorea",6.7,15.277737838546,1.46236421431197,12.2900303898346,18.0296937033113
"Balistapus undulatus","Moorea",6.8,15.3369608050638,1.45449157441287,12.3623450071072,18.0785970771446
"Balistapus undulatus","Moorea",6.9,15.3945621765435,1.44737884213659,12.4147667200116,18.1217915411113
"Balistapus undulatus","Moorea",7,15.4505935128481,1.4410105941524,12.4790334831142,18.1574209073205
"Balistapus undulatus","Moorea",7.1,15.5051044493174,1.43537008180371,12.5409374980662,18.191286826687
"Balistapus undulatus","Moorea",7.2,15.558142781336,1.43043936042647,12.6046948507002,18.2273060983486
"Balistapus undulatus","Moorea",7.3,15.6097545445554,1.42619942001994,12.6569543326213,18.2772438814382
"Balistapus undulatus","Moorea",7.4,15.6599840910287,1.4226303162585,12.6902581965997,18.3174420842974
"Balistapus undulatus","Moorea",7.5,15.7088741614975,1.41971130079481,12.7407132111434,18.357842663612
"Balistapus undulatus","Moorea",7.6,15.7564659540554,1.41742094980028,12.7888264977543,18.3952318867991
"Balistapus undulatus","Moorea",7.7,15.8027991893968,1.41573728971717,12.8397537909536,18.4360140823865
"Balistapus undulatus","Moorea",7.8,15.8479121728481,1.4146379192522,12.8903379201034,18.486077238766
"Balistapus undulatus","Moorea",7.9,15.8918418533628,1.41410012672218,12.9303272751626,18.5197258365829
"Balistapus undulatus","Moorea",8,15.9346238796521,1.41410100196108,12.9763352957452,18.5551839478147
"Balistapus undulatus","Moorea",8.1,15.9762926536114,1.4146175421115,13.0173254707766,18.5875494132846
"Balistapus undulatus","Moorea",8.2,16.0168813811924,1.41562675074597,13.0546545982625,18.623470779758
"Balistapus undulatus","Moorea",8.3,16.056422120862,1.41710572988962,13.0777394519735,18.6701490761803
"Balistapus undulatus","Moorea",8.4,16.0949458297788,1.41903176464281,13.1011925668032,18.7272455101613
"Balistapus undulatus","Moorea",8.5,16.1324824078112,1.42138240022414,13.1206630468272,18.7679896680298
"Balistapus undulatus","Moorea",8.6,16.1690607395143,1.42413551136987,13.1548732891482,18.8070364532956
"Balistapus undulatus","Moorea",8.7,16.2047087341721,1.42726936413126,13.1808715782337,18.8481507219952
"Balistapus undulatus","Moorea",8.8,16.2394533640104,1.43076267020591,13.2138873187443,18.8813866667443
